Local time,Open,High,Low,Close,Volume
26.01.2020 14:00:00.000 GMT-0800,8526,8934,8480,8889,638.4934
27.01.2020 14:00:00.000 GMT-0800,8889,9124,8818,8986,767.8143999999999
28.01.2020 14:00:00.000 GMT-0800,8986,9375,8982,9300,646.9268999999998
29.01.2020 14:00:00.000 GMT-0800,9300,9507,9131,9499,742.5061
30.01.2020 14:00:00.000 GMT-0800,9499,9508,9143,9248,565.8916
31.01.2020 14:00:00.000 GMT-0800,9248,9297,9248,9297,0
01.02.2020 14:00:00.000 GMT-0800,9378,9387,9365,9384,0.0503
02.02.2020 14:00:00.000 GMT-0800,9384,9549,9165,9219,494.5014
03.02.2020 14:00:00.000 GMT-0800,9219,9286,9023,9081,435.7792999999999
04.02.2020 14:00:00.000 GMT-0800,9081,9711,9074,9633,758.8698999999999
05.02.2020 14:00:00.000 GMT-0800,9633,9801,9474,9681,768.9685000000001
06.02.2020 14:00:00.000 GMT-0800,9681,9815,9598,9673,623.8201000000001
07.02.2020 14:00:00.000 GMT-0800,9673,9673,9673,9673,0
08.02.2020 14:00:00.000 GMT-0800,10002,10032,9999,10020,0.0378
09.02.2020 14:00:00.000 GMT-0800,10018,10137,9702,9811,684.4899999999999
10.02.2020 14:00:00.000 GMT-0800,9811,10329,9656,10187,693.3803
11.02.2020 14:00:00.000 GMT-0800,10187,10424,10165,10335,692.2079999999999
12.02.2020 14:00:00.000 GMT-0800,10335,10454,10031,10126,807.2579000000002
13.02.2020 14:00:00.000 GMT-0800,10126,10334,10047,10314,872.1054
14.02.2020 14:00:00.000 GMT-0800,10314,10314,10314,10314,0
15.02.2020 14:00:00.000 GMT-0800,9724,9734,9706,9714,0.0762
16.02.2020 14:00:00.000 GMT-0800,9711,9946,9418,9591,733.2910000000003
17.02.2020 14:00:00.000 GMT-0800,9588,10223,9556,10105,686.3074
18.02.2020 14:00:00.000 GMT-0800,10105,10246,9262,9560,735.0216000000001
19.02.2020 14:00:00.000 GMT-0800,9560,9651,9360,9554,636.6475999999999
20.02.2020 14:00:00.000 GMT-0800,9553,9713,9522,9660,687.4778
21.02.2020 14:00:00.000 GMT-0800,9660,9660,9660,9660,0
22.02.2020 14:00:00.000 GMT-0800,9830,9842,9828,9828,0.031
23.02.2020 14:00:00.000 GMT-0800,9828,9968,9431,9549,607.4461
24.02.2020 14:00:00.000 GMT-0800,9548,9620,9190,9328,444.5346
25.02.2020 14:00:00.000 GMT-0800,9327,9365,8570,8687,318.1735
26.02.2020 14:00:00.000 GMT-0800,8687,8914,8467,8698,552.0071999999999
27.02.2020 14:00:00.000 GMT-0800,8698,8843,8381,8560,824.3341999999999
